Keyword,Count
中山大学,615
助学金,365
贫困生,352
学生,272
该校,110
炫富,98
学校,75
贫困,34
事件,34
消费,34
我校,24
苹果,17
通报,16
京报,16
王嘉尔,15
节俭,9
演唱会,9
重庆,8
校方,7
门票,7
