Keyword,Count
中山大学,768
马克,157
广州,146
访问,125
中国,102
参访,84
法国,76
为何,52
访华,48
广东,46
演讲,43
普通话,43
粤语,39
总统,22
校园,21
学生,21
学院,19
国事访问,18
大学,17
师生,16
